#  z  fg09_1000A     fg09_LW   fg09_heat  hm12_1000A     hm12_LW   hm12_heat   p18_1000A      p18_LW    p18_heat
4.60    1.43e-01    1.43e-01    1.67e-01    1.38e-01    1.38e-01    3.10e-01    9.18e-02    9.64e-02    2.70e-01
4.70    1.51e-01    1.50e-01    1.72e-01    1.36e-01    1.34e-01    3.05e-01    9.40e-02    9.77e-02    2.74e-01
4.80    1.53e-01    1.51e-01    1.74e-01    1.34e-01    1.31e-01    3.00e-01    9.61e-02    9.91e-02    2.79e-01
4.90    1.59e-01    1.57e-01    1.78e-01    1.32e-01    1.28e-01    2.94e-01    9.83e-02    1.00e-01    2.83e-01
5.00    1.60e-01    1.58e-01    1.79e-01    1.30e-01    1.24e-01    2.89e-01    1.00e-01    1.01e-01    2.87e-01
5.10    1.66e-01    1.64e-01    1.83e-01    1.28e-01    1.20e-01    2.84e-01    1.02e-01    1.02e-01    2.91e-01
5.20    1.65e-01    1.63e-01    1.83e-01    1.25e-01    1.16e-01    2.79e-01    1.04e-01    1.03e-01    2.95e-01
5.30    1.73e-01    1.71e-01    1.87e-01    1.21e-01    1.11e-01    2.74e-01    1.06e-01    1.03e-01    2.99e-01
5.40    1.71e-01    1.69e-01    1.86e-01    1.17e-01    1.06e-01    2.69e-01    1.07e-01    1.03e-01    3.02e-01
5.50    1.79e-01    1.76e-01    1.90e-01    1.13e-01    1.01e-01    2.64e-01    1.09e-01    1.03e-01    3.06e-01
